"","heart_rate","steering","steeringVelocity","turningCurvature","speedInMetresPerSecond","prev_steering_vel","delta_steering_vel","danger"
"452",100,0.00335624604485929,-0.00385583750903606,-0.000126196959172376,23.8016109466553,-0.000647787761408836,-0.00320804974762722,FALSE
"453",100,0.0030714578460902,-0.00385583750903606,-0.000114592585305218,23.7858867645264,-0.00385583750903606,0,FALSE
"454",100,0.00298820971511304,-0.00367979775182903,-0.000117634896014351,23.7701282501221,-0.00385583750903606,0.00017603975720703,FALSE
"455",100,0.00297784083522856,-0.00367979775182903,-0.000119715215987526,23.7543773651123,-0.00367979775182903,0,FALSE
"456",100,0.00297784083522856,-0.000103754857263993,-0.000119887059554458,23.7385959625244,-0.00367979775182903,0.00357604289456504,FALSE
"457",100,0.00297784083522856,-0.000103754857263993,-0.000116184288344812,23.7230796813965,-0.000103754857263993,0,FALSE
"458",100,0.00297784083522856,0,-0.000114455520815682,23.7071838378906,-0.000103754857263993,0.000103754857263993,FALSE
"459",100,0.00295712822116911,-0.000413356232456863,-0.00011085688311141,23.6909046173096,0,-0.000413356232456863,FALSE
"460",100,0.00285406922921538,-0.00205621682107449,-0.00011101967538707,23.6749038696289,-0.000413356232456863,-0.00164286058861763,FALSE
"461",100,0.00262029375880957,-0.00205621682107449,-9.73421483649872e-05,23.658863067627,-0.00205621682107449,0,FALSE
"462",100,0.00239123846404254,-0.00463598221540451,-9.26053107832558e-05,23.64280128479,-0.00205621682107449,-0.00257976539433002,FALSE
"463",100,0.00232249847613275,-0.00137358345091343,-8.97188147064298e-05,23.6267280578613,-0.00463598221540451,0.00326239876449108,FALSE
"464",100,0.00232249847613275,0,-9.07993817236274e-05,23.6106605529785,-0.00137358345091343,0.00137358345091343,FALSE
"465",100,0.00236172182485461,0.000784442876465619,-9.68778258538805e-05,23.5945854187012,0,0.000784442876465619,FALSE
"466",100,0.00238139019347727,0.000784442876465619,-9.40990285016596e-05,23.5785236358643,0.000784442876465619,0,FALSE
"467",100,0.00238139019347727,0.00023148104082793,-9.22557737794705e-05,23.5672836303711,0.000784442876465619,-0.000552961835637689,FALSE
"468",100,0.00238139019347727,0.00023148104082793,-8.85711051523685e-05,23.5518817901611,0.00023148104082793,0,FALSE
"469",100,0.00238139019347727,0,-8.86656198417768e-05,23.5406608581543,0.00023148104082793,-0.00023148104082793,FALSE
"470",100,0.00238139019347727,0,-8.49717689561658e-05,23.5252895355225,0,0,FALSE
"471",100,0.00238139019347727,0,-8.50886863190681e-05,23.5093002319336,0,0,FALSE
"472",100,0.00238139019347727,0,-8.5202613263391e-05,23.4933586120605,0,0,FALSE
"473",100,0.00234209117479622,0,-8.01642236183397e-05,23.4774780273438,0,0,FALSE
"474",100,0.00226394925266504,-0.00117510941345245,-8.20989880594425e-05,23.4616889953613,0,-0.00117510941345245,FALSE
"475",100,0.00203327648341656,-0.00461253058165312,-7.52867999835871e-05,23.4459991455078,-0.00117510941345245,-0.00343742116820067,FALSE
"476",100,0.00171666766982526,-0.00629816902801394,-6.43623425276019e-05,23.430139541626,-0.00461253058165312,-0.00168563844636082,FALSE
"477",100,0.00145681749563664,-0.00629816902801394,-6.74068942316808e-05,23.4149990081787,-0.00629816902801394,0,FALSE
"478",100,0.00132639356888831,-0.00392114697024226,-5.54823927814141e-05,23.3996257781982,-0.00629816902801394,0.00237702205777168,FALSE
"479",100,0.00132639356888831,-0.00392114697024226,-5.55218066438101e-05,23.389066696167,-0.00392114697024226,0,FALSE
"480",100,0.00132639356888831,0,-5.55601800442673e-05,23.3793697357178,-0.00392114697024226,0.00392114697024226,FALSE
"481",100,0.00132639356888831,0,-5.5600128689548e-05,23.3695087432861,0,0,FALSE
"482",100,0.00132639356888831,0,-5.16917316417675e-05,23.3560981750488,0,0,FALSE
"483",100,0.00132639356888831,0,-4.77515714010224e-05,23.3429565429688,0,0,FALSE
"484",100,0.00132639356888831,0,-4.37668059021235e-05,23.3309955596924,0,0,FALSE
"485",100,0.00132639356888831,0,-4.19053467339836e-05,23.3203678131104,0,0,FALSE
"486",100,0.00135225139092654,0.000517076987307519,-3.98851007048506e-05,23.3112754821777,0,0.000517076987307519,FALSE
"487",100,0.00138690660241991,0.000517076987307519,-3.98490701627452e-05,23.3040466308594,0.000517076987307519,0,FALSE
"488",100,0.00143050809856504,0.000780300004407763,-5.38645290362183e-05,23.2989463806152,0.000517076987307519,0.000263223017100244,FALSE
"489",100,0.00148323702160269,0.00105414493009448,-4.98081426485442e-05,23.2959003448486,0.000780300004407763,0.000273844925686717,FALSE
"490",100,0.00158999557606876,0.00105414493009448,-4.77142457384616e-05,23.2944660186768,0.00105414493009448,0,FALSE
"491",100,0.00174410035833716,0.00261608092114329,-5.45319053344429e-05,23.2951965332031,0.00105414493009448,0.00156193599104881,FALSE
"492",100,0.00193888158537447,0.00261608092114329,-6.23292580712587e-05,23.2983112335205,0.00261608092114329,0,FALSE
"493",100,0.00214789807796478,0.00403479393571615,-6.8010194809176e-05,23.3040103912354,0.00261608092114329,0.00141871301457286,FALSE
"494",100,0.00228342716582119,0.00270645786076784,-6.77769494359381e-05,23.3124237060547,0.00403479393571615,-0.00132833607494831,FALSE
"495",100,0.00231271632947028,0.000585501315072179,-6.95707203703932e-05,23.3235054016113,0.00270645786076784,-0.00212095654569566,FALSE
"496",100,0.00231271632947028,0.000585501315072179,-7.23288394510746e-05,23.3371429443359,0.000585501315072179,0,FALSE
"497",100,0.00231271632947028,0,-7.42123229429126e-05,23.3522338867188,0.000585501315072179,-0.000585501315072179,FALSE
"498",100,0.00227368343621492,-0.000779939815402031,-7.59825779823586e-05,23.3683967590332,0,-0.000779939815402031,FALSE
"499",100,0.00216714176349342,-0.000779939815402031,-7.77439199737273e-05,23.3853321075439,-0.000779939815402031,0,FALSE
"500",100,0.00196709111332893,-0.00306744524277747,-7.08122970536351e-05,23.4028816223145,-0.000779939815402031,-0.00228750542737544,FALSE
"501",100,0.00119047146290541,-0.0101846931502223,-5.0485188694438e-05,23.4303379058838,-0.00306744524277747,-0.00711724790744483,FALSE
"502",100,0.000929339730646461,-0.00456286268308759,-4.28876628575381e-05,23.4517288208008,-0.0101846931502223,0.00562183046713471,FALSE
"503",100,0.000353478593751788,-0.00456286268308759,-3.32316776621155e-05,23.4703693389893,-0.00456286268308759,0,FALSE
"504",100,2.2847691525385e-06,-0.00927873887121677,-2.74955837085145e-05,23.4891357421875,-0.00456286268308759,-0.00471587618812918,FALSE
"505",100,-0.000243915361352265,-0.0049043265171349,-2.54470141953789e-05,23.5079898834229,-0.00927873887121677,0.00437441235408187,FALSE
"506",100,-0.00049886730266735,-0.0049043265171349,-7.27805945643922e-06,23.5268898010254,-0.0049043265171349,0,FALSE
